Id,Title,Body,Tags,Score,ViewCount,CreationDate
"23787","Cleanest Way to Find a Match In a List","<p>What is the best way to find something in a list?  I know LINQ has some nice tricks, but let's also get suggestions for C# 2.0.  Lets get the best refactorings for this common code pattern.</p>

<p>Currently I use code like this:</p>

<pre><code>// mObjList is a List&lt;MyObject&gt;
MyObject match = null;
foreach (MyObject mo in mObjList)
{
    if (Criteria(mo))
    {
        match = mo;
        break;
    }
}
</code></pre>

<p>or</p>

<pre><code>// mObjList is a List&lt;MyObject&gt;
bool foundIt = false;
foreach (MyObject mo in mObjList)
{
    if (Criteria(mo))
    {
        foundIt = true;
        break;
    }
}
</code></pre>
","<c#><refactoring>","7","436","2008-08-23 00:22:24"
"27663","What kind of database refactoring tools are there?","<p>I am looking for something to integrate to my CI workflow.<br />
I've heard of dbdeploy (<a href=""http://dbdeploy.com/"">http://dbdeploy.com/</a>) but I'm looking for something else. The reason I don't like dbdeploy is I don't want to install java on my server.</p>

<p>I would prefer of course that the solution doesn't involve stringing some shell scripts together.</p>
","<database><refactoring>","12","3441","2008-08-26 09:55:44"
"28578","How can I merge my files when the folder structure has changed using Borland StarTeam?","<p>I'm in the process of refactoring some code which includes moving folders around, and I would like to regularly merge to keep things current. What is the best way to merge after I've moved folders around in my working copy?</p>
","<version-control><refactoring><merge><starteam>","2","447","2008-08-26 16:48:51"
"28796","What refactoring tools do you use for Python?","<p>I have a bunch of classes I want to rename.  Some of them have names that are small and that name is reused in other class names, where I don't want that name changed.  Most of this lives in Python code, but we also have some XML code that references class names.</p>

<p>Simple search and replace only gets me so far.  In my case, I want to rename AdminAction to AdminActionPlug and AdminActionLogger to AdminActionLoggerPlug, so the first one's search-and-replace would also hit the second, wrongly.</p>

<p>Does anyone have experience with Python refactoring tools ? Bonus points if they can fix class names in the XML documents too.</p>
","<python><refactoring>","24","5844","2008-08-26 18:26:51"
"15057","find orphaned methods in codebase","<p>I'm sure we've all seen it before...A code base that has been around for a year or two, and as features have been added and bugs fixed, we end up with pieces of code that aren't actually in use anymore.  I'm wondering if there is a way (especially in VS.NET with or without a third-party tool) to search the codebase and show me which methods are NEVER used anywhere else in the code?</p>

<p>The one challenge I can think of in regards to this type of utility would be the inability to map back when implicit type conversions are occuring.  But assuming that wasn't a problem, what are my options?</p>
","<.net><visual-studio><tools><refactoring>","8","768","2008-08-18 18:37:12"
"35233","Rewrite or repair?","<p>I'm sure you have all been there, you take on a project where there is a creaky old code base which is barely fit for purpose and you have to make the decision to either re-write it from scratch or repair what already exists.  </p>

<p>Conventional wisdom tends to suggest that you should never attempt a re-write from scratch as the risk of failure is very high.  So what did you do when faced with this problem, how did you make the decision and how did it turn out?</p>
","<refactoring><rewrite>","11","838","2008-08-29 20:27:11"
"40264","How many constructor arguments is too many?","<p>Let's say you have a class called Customer, which contains the following fields:</p>

<ul>
<li>UserName</li>
<li>Email</li>
<li>First Name</li>
<li>Last Name</li>
</ul>

<p>Let's also say that according to your business logic, all Customer objects must have these four properties defined.</p>

<p>Now, we can do this pretty easily by forcing the constructor to specify each of these properties.  But it's pretty easy to see how this can spiral out of control when you are forced to add more required fields to the Customer object.  </p>

<p>I've seen classes that take in 20+ arguments into their constructor and it's just a pain to use them.  But, alternatively, if you don't require these fields you run into the risk of having undefined information, or worse, object referencing errors if you rely on the calling code to specify these properties.</p>

<p>Are there any alternatives to this or do you you just have to decide whether X amount of constructor arguments is too many for you to live with?</p>
","<parameters><refactoring><constructor><coding-style>","24","4170","2008-09-02 18:44:31"
"48817","Where to find resources on Refactoring?","<p>Refactoring is the process of improving the existing system design without changing its behavior.</p>

<p>Besides Martin Fowler's seminal book ""<a href=""http://rads.stackoverflow.com/amzn/click/0201485672"" rel=""nofollow"">Refactoring - Improving the design of existing code</a>"" and Joshua Kerievsky's book ""<a href=""http://rads.stackoverflow.com/amzn/click/0321213351"" rel=""nofollow"">Refactoring to Patterns</a>"", are there any good resources on refactoring?  </p>
","<design><refactoring>","7","459","2008-09-07 21:40:27"
"47437","Which is a better refactoring tool for a beginner (something easy to learn & use)?","<p>Resharper, RefactorPro, etc?</p>
","<refactoring>","1","220","2008-09-06 13:07:50"
"54264","Tracking Refactorings in a Bug Database","<p>Let's say you work someplace where every change to source code must be associated with a bug-report or feature-request, and there is no way to get that policy reformed.  In such an environment, what is the best way to deal with code refactorings (that is, changes that improve the code but do not fix a bug or add a feature)?</p>

<ul>
<li>Write up a bug-report and associate the refactoring with it.</li>
<li>Write up a feature-request and associate the refactoring with it.</li>
<li>Sneak in the refactorings while working on code that is associated with a bug-report/feature-request.</li>
<li>Just don't do any refactoring.</li>
<li>Other</li>
</ul>

<p>Note that all bug reports and feature descriptions will be visible to managers and customers.</p>
","<refactoring><bug-tracking>","4","179","2008-09-10 14:49:45"
"56764","Starting a new job focused on brownfield application refactoring & Agile","<p>I am starting a new job on Monday. The company has a home grown enterprise case management application written in ASP.NET/VB.NET. They are attempting to implement an Agile development process. They have gone so far as to get two people Scrum Master certified and hire an Agile coach. They are currently focused on 6-9 months of refactoring.</p>

<p>My question is what are some good approaches/tooling given this environment for becoming familiar with the code base and being productive as soon as I hit the ground? </p>
","<.net><vb.net><refactoring><brownfield>","3","182","2008-09-11 14:52:15"
"60100","In C# (or any language) what is/are your favourite way of removing repetition?","<p>I've just coded a 700 line class. Awful. I hang my head in shame.  It's as opposite to DRY as a British summer.</p>

<p>It's full of cut and paste with minor tweaks here and there.  This makes it's a prime candidate for refactoring.  Before I embark on this, I'd thought I'd ask when you have lots of repetition, what are the first refactoring opportunities you look for?</p>

<p>For the record, mine are probably using:</p>

<ol>
<li>Generic classes and methods</li>
<li>Method overloading/chaining.</li>
</ol>

<p>What are yours?</p>
","<c#><refactoring><coding-style><tips-and-tricks>","3","461","2008-09-12 22:39:33"
"68391","How to write a Rails mixin that spans across model, controller, and view","<p>In an effort to reduce code duplication in my little Rails app, I've been working on getting common code between my models into it's own separate module, so far so good.</p>

<p>The model stuff is fairly easy, I just have to include the module at the beginning, e.g.:</p>

<pre><code>class Iso &lt; Sale
  include Shared::TracksSerialNumberExtension
  include Shared::OrderLines
  extend  Shared::Filtered
  include Sendable::Model

  validates_presence_of   :customer
  validates_associated    :lines

  owned_by :customer

  def initialize( params = nil )
    super
    self.created_at ||= Time.now.to_date
  end

  def after_initialize
  end

  order_lines             :despatched

  # tracks_serial_numbers   :items
  sendable :customer

  def created_at=( date )
    write_attribute( :created_at, Chronic.parse( date ) )
  end
end
</code></pre>

<p>This is working fine, now however, I'm going to have some controller and view code that's going to be common between these models as well, so far I have this for my sendable stuff:</p>

<pre><code># This is a module that is used for pages/forms that are can be ""sent""
# either via fax, email, or printed.
module Sendable
  module Model
    def self.included( klass )
      klass.extend ClassMethods
    end

    module ClassMethods
      def sendable( class_to_send_to )
        attr_accessor :fax_number,
                      :email_address,
                      :to_be_faxed,
                      :to_be_emailed,
                      :to_be_printed

        @_class_sending_to ||= class_to_send_to

        include InstanceMethods
      end

      def class_sending_to
        @_class_sending_to
      end
    end # ClassMethods

    module InstanceMethods
      def after_initialize( )
        super
        self.to_be_faxed    = false
        self.to_be_emailed  = false
        self.to_be_printed  = false

        target_class = self.send( self.class.class_sending_to )
        if !target_class.nil?
          self.fax_number     = target_class.send( :fax_number )
          self.email_address  = target_class.send( :email_address )
        end
      end
    end
  end # Module Model
end # Module Sendable
</code></pre>

<p>Basically I'm planning on just doing an include Sendable::Controller, and Sendable::View (or the equivalent) for the controller and the view, but, is there a cleaner way to do this?  I 'm after a neat way to have a bunch of common code between my model, controller, and view.</p>

<p>Edit: Just to clarify, this just has to be shared across 2 or 3 models.</p>
","<ruby-on-rails><ruby><refactoring><dry>","5","6361","2008-09-16 01:00:29"
"68459","Refactoring and Source Control: How To?","<p>I am completely on board with the ideas behind TDD, Refactoring and Patterns however it does seem like there is a huge gaping whole in these ideas, mainly that they are great for dev teams of 1, but when you start refactoring code that 10 people are working on you start getting merge conflicts all over the place and most diff/merge software can't tell that you refactored a function into its own class.</p>

<p>How do you clean up your code, by refactoring, without causing major headaches for everyone on your team?</p>
","<version-control><refactoring><tdd>","2","421","2008-09-16 01:12:56"
"69107","Best Refactor to Handle Multiple jQuery Email Field Form Validation","<p>What is the best way to refactor the attached code to accommodate multiple email addresses?</p>

<p>The attached HTML/jQuery is complete and works for the first email address. I can setup the other two by copy/pasting and changing the code. But I would like to just refactor the existing code to handle multiple email address fields.</p>

<pre><code>&lt;html&gt;
&lt;head&gt;
    &lt;script src=""includes/jquery/jquery-1.2.6.min.js"" type=""text/javascript""&gt;&lt;/script&gt;
    &lt;script language=""javascript""&gt;
        $(document).ready(function() {
            var validateUsername = $('#Email_Address_Status_Icon_1');

            $('#Email_Address_1').keyup(function() {
                var t = this;
                if (this.value != this.lastValue) {
                    if (this.timer) clearTimeout(this.timer);
                    validateUsername.removeClass('error').html('Validating Email');

                    this.timer = setTimeout(function() {
                        if (IsEmail(t.value)) {
                            validateUsername.html('Valid Email');
                        } else {
                            validateUsername.html('Not a valid Email');
                        };
                    }, 200);

                    this.lastValue = this.value;
                }
            });
        });

        function IsEmail(email) {
            var regex = /^([a-zA-Z0-9_\.\-\+])+\@(([a-zA-Z0-9\-])+\.)+([a-zA-Z0-9]{2,4})+$/;
            if (regex.test(email)) return true;
            else return false;
        }  
    &lt;/script&gt;
&lt;/head&gt;
&lt;body&gt;
    &lt;div&gt;
        &lt;label for=""Email_Address_1""&gt;Friend #1&lt;/label&gt;&lt;/div&gt;
        &lt;input type=""text"" ID=""Email_Address_1""&gt;
        &lt;span id=""Email_Address_Status_Icon_1""&gt;&lt;/span&gt;
    &lt;/div&gt;
    &lt;div&gt;
        &lt;label for=""Email_Address_2""&gt;Friend #2&lt;/label&gt;&lt;/div&gt;
    &lt;input type=""text"" id=""Email_Address_2""&gt;
        &lt;span id=""Email_Address_Status_Icon_2""&gt;&lt;/span&gt;
    &lt;/div&gt;
    &lt;div&gt;
        &lt;label for=""Email_Address_3""&gt;Friend #3&lt;/label&gt;&lt;/div&gt;
    &lt;input type=""text"" id=""Email_Address_3""&gt;
        &lt;span id=""Email_Address_Status_Icon_3""&gt;&lt;/span&gt;
    &lt;/div&gt;
    &lt;/form&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>
","<jquery><email><refactoring><form-validation>","0","4466","2008-09-16 03:12:33"
"72879","Refactoring in Ruby","<p>Are there any programs or IDEs that support refactoring for Ruby or RoR?</p>
","<ruby-on-rails><ruby><refactoring>","11","1304","2008-09-16 14:25:43"
"70124","How do you find your way around a new codebase","<p>You don't always get to talk to the original author or authors of the code you maintain. Sometimes when I work on an existing project I feel like a special forces operative behind enemy lines trying to figure out the lay of the land without the use of a map. When you are in this situation how do you get the code under control?
How do you:</p>

<ol>
<li>find out how things work </li>
<li>understand the mindset of the previous authors</li>
</ol>

<p>So many times I hear other developers say well this just needs to be rewritten that can't always be the answer. What is yours?</p>
","<refactoring>","15","1848","2008-09-16 07:40:19"
"78806","Refactor Mercilessly or Build One To Throw Away?","<blockquote>
  <p>Where a new system concept or new technology is used, one has to build a
  system to throw away, for even the best planning is not so omniscient as
  to get it right the first time. Hence <strong>plan to throw one away; you will, anyhow.</strong></p>
  
  <p>-- Fred Brooks, <a href=""http://en.wikipedia.org/wiki/The_Mythical_Man-Month""><em>The Mythical Man-Month</em></a> [Emphasis mine]</p>
</blockquote>

<p>Build one to throw away.  That's what they told me.  Then they told me that we're all <a href=""http://agilemanifesto.org/"">agile</a> now, so we should <a href=""http://c2.com/cgi/wiki?RefactorMercilessly"">Refactor Mercilessly</a>.  What gives?</p>

<p>Is it <strong>always</strong> better to refactor my way out of trouble?  If not, can anyone suggest a rule-of-thumb to help me decide when to stick with it, and when to give up and start over?</p>
","<refactoring>","11","994","2008-09-17 01:03:41"
"77193","How do you justify Refactoring work to your penny-pinching boss?","<p>You've just written a pile of code to deliver some important feature under pressure.  You've cut a few corners, you've mashed some code into some over-bloated classes with names like SerialIndirectionShutoffManager..</p>

<p>You tell your boss you're going to need a week to clean this stuff up.</p>

<p>""Clean what up?""</p>

<p>""My code - its a pigsty!""</p>

<p>""You mean there's some more bug fixing?""</p>

<p>""Not really, its more like..""</p>

<p>""You're gonna make it run faster?""</p>

<p>""Perhaps, buts thats not..""</p>

<p>""Then you should have written it properly when you had the chance.  Now I'm glad you're here, yeah, I'm gonna have to go ahead and ask you to come in this weekend.. ""</p>

<p>I've read Matin Fowler's book, but I'm not sure I agree with his advice on this matter:</p>

<ul>
<li>Encourage regular code reviews, so refactoring work is encouraged as a natural part of the development process.  </li>
<li>Just don't tell, you're the developer and its part of your duty. </li>
</ul>

<p>Both these methods squirm out of the need to communicate with your manager.</p>

<p>What do you tell your boss?</p>
","<refactoring>","13","1314","2008-09-16 21:14:11"
"94263","How to programmatically determine param name when constructing an ArgumentException?","<p>When constructing an ArgumentException, a couple of the overloads take a string that is the invalid argument's parameter name. I figure it would be nice to not have to remember to update this ctor param whenever I change the method's param name. Is there a simple way to do this using reflection?</p>

<p><strong>Update:</strong> thanks to the 2 respondents so far. You both answer the question well, but the solution still leaves me with a maintenance headache. (Okay, a <strong>tiny</strong> headache, but still...) To explain, if I were to <em>reorder</em> the params later -- or remove an earlier param -- I'd have to remember to change my exception-construction code again. Is there a way I can use something along the lines of</p>

<pre><code>Object.ReferenceEquals(myParam, &lt;insert code here&gt;)
</code></pre>

<p>to be sure I'm dealing with the relevant parameter? That way, the compiler would step in to prevent me badly constructing the exception.</p>

<p>That said, I'm starting to suspect that the ""simple"" part of the original question not that forthcoming. Maybe I should just put up with using string literals. :)</p>
","<.net><reflection><refactoring><duplication>","3","160","2008-09-18 16:39:04"
"91384","Unit testing for C++ code - Tools and methodology","<p>I'm working on a large c++ system that is has been in development for a few years now. As part of an effort to improve the quality of the existing code we engaged on a large long-term refactoring project.</p>

<p>Do you know a good tool that can help me write unit tests in C++? Maybe something similar to Junit or Nunit?</p>

<p>Can anyone give some good advice on the methodology of writing unit tests for modules that were written without unit testing in mind?</p>
","<c++><unit-testing><refactoring>","76","10004","2008-09-18 10:08:47"
"98426","How to Refactor to Generics from Class that Inherits from CollectionBase?","<p>I am working on an application that is about 250,000 lines of code.  I'm currently the only developer working on this application that was originally built in .NET 1.1.  Pervasive throughout is a class that inherits from CollectionBase.  All database collections inherit from this class.  I am considering refactoring to inherit from the generic collection List instead.  Needless to say, Martin Fowler's Refactoring book has no suggestions.  Should I attempt this refactor?  If so, what is the best way to tackle this refactor?</p>

<p>And yes, there are unit tests throughout, but no QA team.</p>
","<c#><generics><.net-3.5><.net-2.0><refactoring>","2","454","2008-09-19 00:46:25"
"98079","Can eclipse extract a second class in class file to its own file","<p>I often refactor code first by creating an inner class inside the class I'm working on--When I'm done, I move the entire thing into a new class file.  This makes refactoring code into the new class extremely easy because A) I'm only dealing with a single file, and B) I don't create new files until I have a pretty good idea of the name/names (Sometimes it ends up as more than one class).</p>

<p>Is there any way Eclipse can help me with the final move?  I should just be able to tell it what package I want the class in, it can figure out the filename from the class name and the directory from the package.</p>

<p>This seems like a trivial refactor and really obvious, but I can't figure out the keystrokes/gestures/whatever to make it happen.  I've tried dragging, menus, context menus, and browsing through the keyboard shortcuts.</p>

<p>Anyone know this one?</p>

<p>[edit] These are already ""Top Level"" classes in this file, not inner classes, and ""Move"" doesn't seem to want to create a new class for me. This is the hard way that I usually do it--involves going out, creating an empty class, coming back and moving.  I would like to do the whole thing in a single step.</p>
","<java><eclipse><refactoring>","11","2435","2008-09-18 23:43:53"
"100633","Why do you not declare several variables of the same type on the same line?","<p>Why is it bad practice to declare variables on one line?</p>

<p>e.g.</p>

<pre><code>private String var1, var2, var3
</code></pre>

<p>instead of: </p>

<pre><code>private String var1;
private String var2;
private String var3;
</code></pre>
","<language-agnostic><layout><refactoring>","6","1336","2008-09-19 09:06:16"
"102394","Sorting a dict on __iter__","<p>I am trying to sort a dict based on its key and return an iterator to the values from within an overridden iter method in a class. Is there a nicer and more efficient way of doing this than creating a new list, inserting into the list as I sort through the keys?</p>
","<python><optimization><refactoring>","3","416","2008-09-19 14:43:24"
"99474","how to handle code that is deemed dangerous to change, but stable?","<p>What is the best way to handle a big team that has access to a stable but no so pretty code, that is easy to introduce bugs into?</p>

<p>I'm looking for something along the lines of SVN locking the file(s). </p>
","<c++><svn><refactoring>","3","256","2008-09-19 03:57:34"
"100876","How do you refactor your old PHP code?","<p>I have recently gotten involved in a project where a web-based game uses an engine written in PHP.  The game works fine but could be more robust and have some more features - and the code is both old and fairly ugly.</p>

<p>The issue with this code (and much PHP code in general I suspect) is that it has evolved to where it is and isn't structured very nicely, has a lot of almost-identical cut/pasted pieces of code, and makes heavy use of globals even where functions are involved.  Not a single unit test anywhere, of course, and the code is hard coded to use a particular DB and relies on $_REQUEST strings from the web page that calls the code.</p>

<p>The right thing to do would be to pull out pieces of the code as sub-functions, tidy them up and add some unit tests to make sure it continues to work, adding a few mock objects along the way.  However, doing this entirely by hand is tedious and error-prone and I wonder how you do this - is there an IDE or tool that can help, for example?  I would like to have a tool that can help produce a function from a defined piece of code, suggest which variables should be parameters, by value or reference, automatically add $this-> references, etc.</p>

<p>Is this too much to ask, or is there a good solution?</p>

<p>Thanks!</p>
","<php><tools><refactoring>","5","617","2008-09-19 10:07:46"
"104380","Tips on refactoring an outdated database schema","<p>Being stuck with a legacy database schema that no longer reflects your data model is every developer's nightmare.  Yet with all the talk of refactoring code for maintainability I have not heard much of refactoring outdated database schemas.  </p>

<p>What are some tips on how to transition to a better schema without breaking all the code that relies on the old one?  I will propose a specific problem I am having to illustrate my point but feel free to give advice on other techniques that have proven helpful - those will likely come in handy as well.</p>

<p><hr /></p>

<p>My example:</p>

<p>My company receives and ships products.  Now a product receipt and a product shipment have some very different data associated with them so the original database designers created a separate table for receipts and for shipments.  </p>

<p>In my one year working with this system I have come to the realization that the current schema doesn't make a lick of sense.  After all, both a receipt and a shipment are basically a transaction, they each involve changing the amount of a product, at heart only the +/- sign is different.  Indeed, we frequently need to find the total amount that the product has changed over a period of time, a problem for which this design is downright intractable.  </p>

<p>Obviously the appropriate design would be to have a single Transactions table with the Id being a foreign key of either a ReceiptInfo or a ShipmentInfo table.  Unfortunately, the wrong schema has already been in production for some years and has hundreds of stored procedures, and thousands of lines of code written off of it.  How then can I transition the schema to work correctly?</p>
","<database><refactoring><schema><hints-and-tips>","13","1101","2008-09-19 18:36:14"
